model,quantization,gpu_memory_gb,benchmark,tokens,cache_capacity,total_experts,cache_pct,predictor_ms,layer_compute_ms,transfer_ms,baseline_latency_ms,baseline_hit_rate,baseline_misses,K6_latency_ms,K6_hit_rate,K6_misses,K6_evictions,K6_total_prefetches,K6_dedup_skipped,K6_wasted_prefetches,K6_waste_rate,K6_speedup,K6_miss_reduction,K6_hit_rate_gain,K8_latency_ms,K8_hit_rate,K8_misses,K8_evictions,K8_total_prefetches,K8_dedup_skipped,K8_wasted_prefetches,K8_waste_rate,K8_speedup,K8_miss_reduction,K8_hit_rate_gain,K10_latency_ms,K10_hit_rate,K10_misses,K10_evictions,K10_total_prefetches,K10_dedup_skipped,K10_wasted_prefetches,K10_waste_rate,K10_speedup,K10_miss_reduction,K10_hit_rate_gain
deepseek_moe_16b,fp16,32,wikitext_test,256,1053,1792,0.5876116071428571,0.42521718610078096,13.560227546426985,50.0,2271.3995812535295,0.7647810570987654,9755,1183.8570077782501,0.9004629629629629,4128,10889,7725,27603,2069,0.267831715210356,1.9186435239474364,2.3631298449612403,0.13568190586419748,1094.0132577782501,0.9115547839506173,3668,13741,11037,36067,4427,0.4011053728368216,2.0762084600933863,2.6594874591057795,0.14677372685185186,1072.1382577782501,0.9142554012345679,3556,16310,13718,45124,6813,0.49664674150750837,2.1185696572011725,2.7432508436445446,0.14947434413580252
deepseek_moe_16b,fp16,4,gsm8k,112,4,1792,0.002232142857142857,0.4139176309453668,16.200815396176445,50.0,8537.42201569676,0.0,18144,8548.597791732287,0.0,18144,33684,15455,1,2890,0.18699450016175995,0.9986926772895626,1.0,0.0,8548.597791732287,0.0,18144,38836,20607,1,6740,0.3270733245984374,0.9986926772895626,1.0,0.0,8548.597791732287,0.0,18144,38837,20608,1,6741,0.32710597826086957,0.9986926772895626,1.0,0.0
deepseek_moe_16b,fp16,4,mmlu,120,4,1792,0.002232142857142857,0.4076337783631903,15.50881897188999,50.0,8518.73811224103,0.0,19440,8529.744224256838,0.0,19440,36084,16559,1,3550,0.21438492662600397,0.9987096785405934,1.0,0.0,8529.744224256838,0.0,19440,41604,22079,1,7764,0.35164636079532585,0.9987096785405934,1.0,0.0,8529.744224256838,0.0,19440,41605,22080,1,7765,0.35167572463768115,0.9987096785405934,1.0,0.0
deepseek_moe_16b,fp16,4,wikitext_test,256,4,1792,0.002232142857142857,0.43145955688561555,13.683255714398843,50.0,8469.447904288769,0.0,41472,8481.097312324682,0.0,41472,76884,35327,1,7855,0.22235117615421632,0.9986264267927943,1.0,0.0,8481.097312324682,0.0,41472,88660,47103,1,16674,0.35399019170753454,0.9986264267927943,1.0,0.0,8481.097312324682,0.0,41472,88661,47104,1,16675,0.35400390625,0.9986264267927943,1.0,0.0
deepseek_moe_16b,fp16,8,gsm8k,112,29,1792,0.016183035714285716,0.4102874079167291,15.916100750366846,50.0,8529.288291688477,5.511463844797178e-05,18143,8423.848194559376,0.014440035273368606,17882,33395,15453,3,2890,0.18701870187018702,1.012516856274452,1.014595682809529,0.014384920634920634,8507.776765987946,0.004078483245149912,18070,38735,20605,3,6739,0.3270565396748362,1.0025284544120303,1.0040398450470394,0.00402336860670194,8507.776765987946,0.004078483245149912,18070,38738,20608,2,6741,0.32710597826086957,1.0025284544120303,1.0040398450470394,0.00402336860670194
deepseek_moe_16b,fp16,8,mmlu,120,29,1792,0.016183035714285716,0.4011140739614213,15.404387574504923,50.0,8515.501797844965,5.1440329218106995e-05,19439,8418.831877841922,0.013323045267489711,19181,35798,16557,3,3550,0.21441082321676633,1.011482581123573,1.0134508106980866,0.013271604938271604,8485.081877841922,0.0051440329218107,19340,41477,22077,3,7763,0.3516329211396476,1.0035851062418717,1.0051189245087901,0.005092592592592593,8485.081877841922,0.0051440329218107,19340,41480,22080,2,7765,0.35167572463768115,1.0035851062418717,1.0051189245087901,0.005092592592592593
deepseek_moe_16b,fp16,8,wikitext_test,256,29,1792,0.016183035714285716,0.4260183714537157,13.39083138053064,50.0,8461.357134774325,2.4112654320987653e-05,41471,8363.87525580358,0.013478973765432098,40913,76298,35325,3,7855,0.22236376503892427,1.0116551091437076,1.0136386967467552,0.01345486111111111,8430.08619330358,0.005304783950617284,41252,88413,47101,3,16673,0.35398399184730683,1.0037094450464321,1.0053088335111025,0.005280671296296296,8430.08619330358,0.005304783950617284,41252,88416,47104,2,16675,0.35400390625,1.0037094450464321,1.0053088335111025,0.005280671296296296
mixtral_8x7b,4bit,16,gsm8k,123,157,256,0.61328125,0.34198799256409984,48.97929595783353,50.0,2755.1423486994536,0.6288109756097561,2922,1796.980273404594,0.9316565040650406,538,24652,24259,37157,16928,0.697802877282658,1.5332067855589238,5.431226765799257,0.30284552845528456,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,16,mmlu,114,157,256,0.61328125,0.3377369986847043,49.32595798186958,50.0,2662.202585244388,0.6613212719298246,2471,1807.659292009316,0.9317434210526315,498,23241,22888,33741,16093,0.7031195386228591,1.472734711133091,4.961847389558233,0.27042214912280693,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,16,wikitext_test,256,157,256,0.61328125,0.38124299672199413,46.09636295773089,50.0,2619.0289271473885,0.64251708984375,5857,1712.8693280424923,0.92950439453125,1155,51756,50746,76780,35520,0.6999566468293067,1.5290301976161118,5.070995670995671,0.2869873046875,,,,,,,,,,,,,,,,,,,,,,
